course_id,raw_output,categories
6698,"{""categories"": [""lunch""]}",['lunch']
6709,"{""categories"": [""lunch""]}",['lunch']
6725,"{""categories"": [""lunch""]}",['lunch']
6730,"{""categories"": [""lunch""]}",['lunch']
6732,"{""categories"": [""lunch""]}",['lunch']
6759,"{""categories"": [""breakfast""]}",['breakfast']
6766,"{""categories"": [""breakfast""]}",['breakfast']
6772,"{""categories"": [""breakfast""]}",['breakfast']
6776,"{""categories"": [""dinner""]}",['dinner']
6784,"{""categories"": [""lunch""]}",['lunch']
6788,"{""categories"": [""lunch""]}",['lunch']
6806,"{""categories"": [""dinner""]}",['dinner']
6821,"{""categories"": [""lunch""]}",['lunch']
6843,"{""categories"": [""lunch""]}",['lunch']
6852,"{""categories"": [""lunch""]}",['lunch']
6865,"{""categories"": [""breakfast""]}",['breakfast']
6869,"{""categories"": [""breakfast""]}",['breakfast']
6889,"{""categories"": [""lunch""]}",['lunch']
6900,"{""categories"": [""dinner""]}",['dinner']
6901,"{""categories"": [""lunch""]}",['lunch']
6911,"{""categories"": [""lunch""]}",['lunch']
6944,"{""categories"": [""lunch""]}",['lunch']
6947,"{""categories"": [""breakfast""]}",['breakfast']
6964,"{""categories"": [""breakfast""]}",['breakfast']
6969,"{""categories"": [""lunch""]}",['lunch']
6978,"{""categories"": [""dinner""]}",['dinner']
6980,"{""categories"": [""dinner""]}",['dinner']
6984,"{""categories"": [""breakfast""]}",['breakfast']
6989,"{""categories"": [""breakfast""]}",['breakfast']
6992,"{""categories"": [""breakfast""]}",['breakfast']
6998,"{""categories"": [""breakfast""]}",['breakfast']
7003,"{""categories"": [""lunch""]}",['lunch']
7016,"{""categories"": [""breakfast""]}",['breakfast']
7019,"{""categories"": [""breakfast""]}",['breakfast']
7041,"{""categories"": [""lunch""]}",['lunch']
7177,"{""categories"": [""dinner""]}",['dinner']
7179,"{""categories"": [""breakfast""]}",['breakfast']
7197,"{""categories"": [""dinner""]}",['dinner']
7215,"{""categories"": [""lunch""]}",['lunch']
7216,"{""categories"": [""dinner""]}",['dinner']
7238,"{""categories"": [""breakfast""]}",['breakfast']
7255,"{""categories"": [""dessert""]}",[]
7259,"{""categories"": [""lunch""]}",['lunch']
7263,"{""categories"": [""lunch""]}",['lunch']
7272,"{""categories"": [""dinner""]}",['dinner']
7277,"{""categories"": []}",[]
7279,"{""categories"": [""dinner""]}",['dinner']
7284,"{""categories"": [""dinner""]}",['dinner']
7286,"{""categories"": []}",[]
7288,"{""categories"": [""dinner""]}",['dinner']
7304,"{""categories"": [""lunch""]}",['lunch']
7307,"{""categories"": [""lunch""]}",['lunch']
7318,"{""categories"": [""lunch""]}",['lunch']
7322,"{""categories"": [""breakfast""]}",['breakfast']
7334,"{""categories"": [""lunch""]}",['lunch']
7337,"{""categories"": [""dinner""]}",['dinner']
7340,"{""categories"": [""lunch""]}",['lunch']
7342,"{""categories"": [""lunch""]}",['lunch']
7349,"{""categories"": [""dinner""]}",['dinner']
7350,"{""categories"": []}",[]
7358,"{""categories"": [""dinner""]}",['dinner']
7375,"{""categories"": [""dinner""]}",['dinner']
7380,"{""categories"": [""lunch""]}",['lunch']
7381,"{""categories"": [""lunch""]}",['lunch']
7385,"{""categories"": [""dinner""]}",['dinner']
7387,"{""categories"": [""dinner""]}",['dinner']
7392,"{""categories"": [""dinner""]}",['dinner']
7394,"{""categories"": [""dinner""]}",['dinner']
7397,"{""categories"": [""lunch""]}",['lunch']
7399,"{""categories"": [""dinner""]}",['dinner']
7402,"{""categories"": [""dinner""]}",['dinner']
7409,"{""categories"": [""lunch""]}",['lunch']
7410,"{""categories"": []}",[]
7415,"{""categories"": []}",[]
7422,"{""categories"": [""dinner""]}",['dinner']
7438,"{""categories"": [""lunch""]}",['lunch']
7441,"{""categories"": [""dinner""]}",['dinner']
7460,"{""categories"": [""lunch""]}",['lunch']
7466,"{""categories"": [""dinner""]}",['dinner']
7475,"{""categories"": []}",[]
7479,"{""categories"": [""dinner""]}",['dinner']
7480,"{""categories"": [""dinner""]}",['dinner']
7489,"{""categories"": [""dinner""]}",['dinner']
7495,"{""categories"": [""dinner""]}",['dinner']
7502,"{""categories"": [""dinner""]}",['dinner']
7505,"{""categories"": [""dinner""]}",['dinner']
7506,"{""categories"": []}",[]
7509,"{""categories"": [""lunch""]}",['lunch']
7511,"{""categories"": [""dinner""]}",['dinner']
7515,"{""categories"": [""dinner""]}",['dinner']
7528,"{""categories"": [""dinner""]}",['dinner']
7531,"{""categories"": [""dinner""]}",['dinner']
7546,"{""categories"": [""dinner""]}",['dinner']
7547,"{""categories"": [""lunch""]}",['lunch']
7548,"{""categories"": [""dinner""]}",['dinner']
7549,"{""categories"": []}",[]
7565,"{""categories"": [""dinner""]}",['dinner']
7585,"{""categories"": [""breakfast""]}",['breakfast']
7589,"{""categories"": []}",[]
7602,"{""categories"": [""breakfast""]}",['breakfast']
7609,"{""categories"": [""dinner""]}",['dinner']
7612,"{""categories"": [""dinner""]}",['dinner']
7616,"{""categories"": [""dinner""]}",['dinner']
7619,"{""categories"": [""dinner""]}",['dinner']
